open,high,low,close,volume,payment_type,fare_amount
54.546875,54.734375,54.296875,54.40625,714100,CSH,54.609375
54.46875,54.609375,54.46875,54.609375,9500,CSH,54.8125
54.765625,55.0625,54.640625,54.8125,409300,CSH,55.515625
54.828125,55.515625,54.71875,55.515625,202500,CSH,55.765625
55.40625,55.78125,55.375,55.765625,481700,CSH,55.796875
55.8125,55.953125,55.703125,55.796875,400400,CSH,55.53125
55.75,55.796875,55.453125,55.53125,420500,CSH,56.21875
55.640625,56.3125,55.53125,56.21875,203400,CSH,56.09375
56.140625,56.265625,56.03125,56.09375,215600,CSH,56.046875
55.796875,56.09375,55.75,56.046875,543700,CSH,56.359375
56.125,56.421875,56.078125,56.359375,171500,CSH,55.875
56.265625,56.265625,55.828125,55.875,221200,CSH,55.265625
55.65625,55.71875,54.203125,55.265625,486600,CSH,55.46875
55.328125,55.578125,55.03125,55.46875,318900,CSH,55.40625
55.421875,55.625,55.1875,55.40625,94000,CSH,55.8125
55.484375,55.875,55.484375,55.8125,108400,CSH,56.234375
55.875,56.3125,55.703125,56.234375,107400,CSH,56.1875
56.203125,56.46875,56.171875,56.1875,167800,CSH,56.65625
56.453125,56.703125,56.453125,56.65625,187700,CSH,56.296875
56.703125,56.703125,56.25,56.296875,415600,CSH,56.15625
56.34375,56.390625,56.03125,56.15625,342500,CSH,56.0625
56.234375,56.234375,55.75,56.0625,141000,CSH,55.9375
56.390625,56.796875,55.84375,55.9375,240400,CSH,55.921875
55.546875,55.953125,55.453125,55.921875,1193600,CSH,55.984375
56.03125,56.078125,55.921875,55.984375,240500,CSH,56.109375
56.109375,56.28125,56.078125,56.109375,193100,CSH,56.109375
56.140625,56.3125,55.9375,56.109375,951900,CSH,56.09375
56.296875,56.296875,56.046875,56.09375,107100,CSH,55.96875
56.15625,56.28125,55.734375,55.96875,280800,CSH,55.65625
55.921875,55.984375,55.421875,55.65625,257200,CSH,56.15625
55.796875,56.15625,55.671875,56.15625,254800,CSH,56.046875
56.140625,56.140625,55.65625,56.046875,44400,CSH,56.203125
56,56.203125,55.9375,56.203125,374900,CSH,56.109375
56.234375,56.234375,55.90625,56.109375,353800,CSH,56.171875
56.390625,56.40625,56.125,56.171875,85400,CSH,56.015625
56.40625,56.640625,56,56.015625,266700,CSH,56.125
56.09375,56.21875,55.8125,56.125,220200,CSH,55.921875
56.171875,56.203125,55.921875,55.921875,176500,CSH,55.984375
55.9375,56.09375,55.75,55.984375,167400,CSH,56.296875
56.078125,56.390625,56.078125,56.296875,195000,CSH,56.09375
56.453125,56.453125,56,56.09375,293000,CSH,56.234375
56.15625,56.25,55.765625,56.234375,1133100,CSH,56.359375
56.28125,56.421875,56.21875,56.359375,437400,CSH,56.40625
56.34375,56.5,56.296875,56.40625,491900,CSH,56.65625
56.390625,56.75,56.34375,56.65625,629900,CSH,57.1875
56.828125,57.21875,56.734375,57.1875,272200,CSH,57.296875
57.234375,57.359375,57.21875,57.296875,214500,CSH,57.328125
57.359375,57.390625,57.25,57.328125,258800,CSH,57.546875
57.546875,57.546875,57.171875,57.546875,107300,CSH,57.703125
57.640625,57.8125,57.640625,57.703125,260700,CSH,57.96875
57.71875,57.96875,57.578125,57.96875,139500,CSH,58.234375
57.90625,58.3125,57.890625,58.234375,239800,CSH,58.765625
58.4375,58.8125,58.28125,58.765625,457600,CSH,58.4375
58.40625,58.578125,58.203125,58.4375,431200,CSH,58.21875
58.234375,58.265625,57.9375,58.21875,307500,CSH,58.5
58.328125,58.53125,58.125,58.5,549600,CSH,58.78125
58.59375,58.78125,58.546875,58.78125,290800,CSH,58.296875
58.703125,58.75,58.0625,58.296875,508500,CSH,58.3125
57.828125,58.375,57.78125,58.3125,449900,CSH,58.21875
58.375,58.375,58.015625,58.21875,130000,CSH,58.203125
58.390625,58.53125,58.0625,58.203125,466600,CSH,58.15625
57.953125,58.1875,57.59375,58.15625,654400,CSH,58.59375
58.203125,58.59375,58.15625,58.59375,456200,CSH,58.484375
58.546875,58.90625,58.40625,58.484375,606600,CSH,58.1875
58.484375,58.625,58.046875,58.1875,293100,CSH,58.25
58.1875,58.34375,57.953125,58.25,839700,CSH,58.1875
58.28125,58.28125,58.109375,58.1875,248800,CSH,58.359375
58.25,58.359375,58.09375,58.359375,268800,CSH,58.40625
58.390625,58.578125,58.390625,58.40625,75300,CSH,57.921875
58.1875,58.21875,57.8125,57.921875,358200,CSH,57.890625
